,Compound_Name,assay_standard_value,assay_standard_units,assay_standard_type,assay_pchembl_value,target_organism,assay_chembl_id,InChIKey,Smiles,molecule_chembl_id,natural_product
100,,165.0,nM,IC50,6.78,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,JNMYTAOKGYVCRG-UHFFFAOYSA-N,O=C1C(c2ccc(Oc3ccccc3)cc2)=[N+]([O-])c2cc3c(cc21)OCO3,CHEMBL567535,0
101,,155.0,nM,IC50,6.81,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,HWVJECPAIUGBNE-UHFFFAOYSA-N,O=C1C(c2ccc(Cl)c(Cl)c2)=[N+]([O-])c2ccccc21,CHEMBL567970,0
102,,210.0,nM,IC50,6.68,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,FALQSTQQLBYJAU-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccc(Cl)cc1)=[N+]2[O-],CHEMBL565854,0
103,,265.0,nM,IC50,6.58,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,WEUCWOAGXRQHTL-UHFFFAOYSA-N,COc1cc2c(cc1OC)[N+]([O-])=C(c1ccc(C)cc1)C2=O,CHEMBL576035,0
104,,50.0,nM,IC50,7.30,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,VKCGEFHCUNERCN-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccc(Cl)c(C(F)(F)F)c1)=[N+]2[O-],CHEMBL566943,0
105,,150.0,nM,IC50,6.82,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,VSDIJEHTIPVEHO-UHFFFAOYSA-N,COc1ccc2c(c1)[N+]([O-])=C(c1ccc(Cl)cc1)C2=O,CHEMBL567574,0
106,,100.0,nM,IC50,7.00,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,AMUYLLDMIQBODD-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccc(Cl)c(Cl)c1)=[N+]2[O-],CHEMBL568746,0
107,,195.0,nM,IC50,6.71,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,LCDWNZLPMJWMOR-UHFFFAOYSA-N,O=C1C(c2ccc(Cl)c(Cl)c2)=[N+]([O-])c2cc3c(cc21)OCO3,CHEMBL568158,0
108,,156.0,nM,IC50,6.81,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,BIEXAUZVLHFAFK-UHFFFAOYSA-N,CCOc1ccc(C2=[N+]([O-])c3cc4c(cc3C2=O)OCO4)cc1,CHEMBL568600,0
109,,1770.0,nM,IC50,5.75,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,JNFIGKJFZMHBHN-UHFFFAOYSA-N,Cc1ccc(C2=[N+]([O-])c3ccccc3C2=O)cc1,CHEMBL568601,0
110,,184.0,nM,IC50,6.74,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,ZQVBYFDEGOFPGY-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccccc1)=[N+]2[O-],CHEMBL565867,0
111,,52.0,nM,IC50,7.28,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,YIWDFNRKFDELQA-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccc(C)cc1)=[N+]2[O-],CHEMBL565868,0
112,,186.0,nM,IC50,6.73,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,LCDSAPVNQLLFRK-UHFFFAOYSA-N,O=C1C(c2ccc(Cl)cc2)=[N+]([O-])c2cc(C(F)(F)F)ccc21,CHEMBL576250,0
113,,135.0,nM,IC50,6.87,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,YALHNEGEGUHFNI-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1cc(OC)c3ccccc3c1)=[N+]2[O-],CHEMBL568624,0
114,,630.0,nM,IC50,6.20,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,UKKAFGXRMFUYPA-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccc(-c3ccc(Cl)cc3)cc1)=[N+]2[O-],CHEMBL567780,0
115,,40.0,nM,IC50,7.40,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,XIBSBTHKHLOTJH-UHFFFAOYSA-N,COc1ccc(C2=[N+]([O-])c3ccc(OC)cc3C2=O)cc1,CHEMBL576517,0
116,,227.0,nM,IC50,6.64,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,PMLUTPGWKUMXMW-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccc(Cl)cc1Cl)=[N+]2[O-],CHEMBL576865,0
117,,193.0,nM,IC50,6.71,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,XWNBEJUASQMKQR-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccc(Oc3ccccc3)cc1)=[N+]2[O-],CHEMBL566909,0
118,,20.0,nM,IC50,7.70,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,NNIRWDYKNSNOGU-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccc(OC(F)(F)F)cc1)=[N+]2[O-],CHEMBL576595,0
119,,17.0,nM,IC50,7.77,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,WERMOXXCEQWXMG-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccc(OC(C)C)cc1)=[N+]2[O-],CHEMBL565855,0
120,,131.0,nM,IC50,6.88,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,JPLQRMJNUUUUPY-UHFFFAOYSA-N,CCN(CC)c1ccc(C2=[N+]([O-])c3ccc(OC)cc3C2=O)cc1,CHEMBL567737,0
121,,44.0,nM,IC50,7.36,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,WCKUTCQDOFCJIV-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccc(OC)c(C)c1)=[N+]2[O-],CHEMBL568412,0
122,,24.0,nM,IC50,7.62,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,HTBDGBPUYWVYCA-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccc(N)cc1)=[N+]2[O-],CHEMBL576451,0
123,,106.0,nM,IC50,6.97,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,XDCCHKJWEDSMHA-UHFFFAOYSA-N,COc1ccc(C2=[N+]([O-])c3cc(OC)ccc3C2=O)cc1,CHEMBL572187,0
124,,135.0,nM,IC50,6.87,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,LGLILUFKMXKJNX-UHFFFAOYSA-N,COc1ccc(C2=[N+]([O-])c3cc(C(F)(F)F)ccc3C2=O)cc1,CHEMBL577719,0
125,,191.0,nM,IC50,6.72,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,JADLJVBENCZADA-UHFFFAOYSA-N,COc1ccc(C2=[N+]([O-])c3cc(Cl)ccc3C2=O)cc1,CHEMBL568159,0
126,,198.0,nM,IC50,6.70,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,JBDZQWPSMFCXKV-UHFFFAOYSA-N,COc1ccc(C2=[N+]([O-])c3cc(C)ccc3C2=O)cc1,CHEMBL568160,0
127,,133.0,nM,IC50,6.88,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,WBRVORYBFAWPKH-UHFFFAOYSA-N,COc1ccc(C2=[N+]([O-])c3cc(OC(F)(F)F)ccc3C2=O)cc1,CHEMBL576596,0
128,,206.0,nM,IC50,6.69,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,SQSJKHZEXNCNEH-UHFFFAOYSA-N,COC(=O)c1ccc2c(c1)[N+]([O-])=C(c1ccc(OC)cc1)C2=O,CHEMBL567781,0
129,,43.0,nM,IC50,7.37,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,OQSATJOELILUHR-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccc(C(F)(F)F)cc1)=[N+]2[O-],CHEMBL568161,0
130,,256.0,nM,IC50,6.59,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,IEPNROOKKAXLSS-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccc(C(C)=O)cc1)=[N+]2[O-],CHEMBL579239,0
131,,21.0,nM,IC50,7.68,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,KTDFSYCAHNNRAI-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1cccc(Cl)c1)=[N+]2[O-],CHEMBL567966,0
132,,37.0,nM,IC50,7.43,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,INCHGXVQRKMETG-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccc(C)c(C)c1)=[N+]2[O-],CHEMBL567557,0
133,,400.0,nM,IC50,6.40,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,YILMLRAHCOWCJW-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccc(NC(C)=O)cc1)=[N+]2[O-],CHEMBL576396,0
134,,204.0,nM,IC50,6.69,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,NHIOSGNLZUUBCG-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccc(C(C)(C)C)cc1)=[N+]2[O-],CHEMBL568413,0
135,,1130.0,nM,IC50,5.95,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,MCRDLOFCGDCGEX-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccccc1Cl)=[N+]2[O-],CHEMBL577274,0
136,,3.0,nM,IC50,8.52,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,LMEFTSGJQDVMGO-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccc(Cl)c(C)c1)=[N+]2[O-],CHEMBL578587,0
137,,276.0,nM,IC50,6.56,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,LDOROPGWZMPNBO-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccc(CC(=O)O)cc1)=[N+]2[O-],CHEMBL576398,0
138,,1043.0,nM,IC50,5.98,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,AVQXNBOSNNWRBA-UHFFFAOYSA-N,COc1ccc(C2=[N+]([O-])c3ccc(OC)cc3C2=O)c(C)c1,CHEMBL568213,0
139,,270.0,nM,IC50,6.57,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,QUDLZZQDQNBTQP-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(c1ccsc1)=[N+]2[O-],CHEMBL568214,0
140,,345.0,nM,IC50,6.46,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,XBXXLZBNECCWAJ-UHFFFAOYSA-N,COc1ccc(C2=[N+]([O-])c3cc([N+](=O)[O-])ccc3C2=O)cc1,CHEMBL577720,0
141,,12160.0,nM,IC50,4.92,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,WNBFCMKHSWZUBC-UHFFFAOYSA-N,CCCC1=[N+]([O-])c2ccccc2C1=O,CHEMBL567179,0
142,,3560.0,nM,IC50,5.45,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,GRHJUTIEMZAMEO-UHFFFAOYSA-N,CCC1=[N+]([O-])c2cc3c(cc2C1=O)OCO3,CHEMBL568748,0
143,,1000.0,nM,IC50,6.00,Plasmodium falciparum FcB1/Columbia,CHEMBL1065691,OEOAUHDOVNNPJI-BPAPALMGSA-N,CCOC(=O)C(C/C=C(\C)CC/C=C(\C)CCC=C(C)C)(CCCc1ncc(CN[C@H](C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCSC)C(=O)OC)C(C)C)n1C)C(=O)OCC,CHEMBL590240,0
144,,1100.0,nM,IC50,5.96,Plasmodium falciparum FcB1/Columbia,CHEMBL1065691,PJSFOPCYCIOSLT-KPGXTVMWSA-N,CCOC(=O)C(C/C=C/c1ncc(CN[C@H](C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCSC)C(=O)OC)C(C)C)n1C)(C/C=C(\C)CC/C=C(\C)CCC=C(C)C)C(=O)OCC,CHEMBL590064,0
145,,4000.0,nM,IC50,5.40,Plasmodium falciparum FcB1/Columbia,CHEMBL1065691,ZAONODZHMGEIQD-NZCNRJORSA-N,CCOC(=O)C(C/C=C(\C)CC/C=C(\C)CCC=C(C)C)(CCCc1nccn1C)C(=O)OCC,CHEMBL600687,0
146,,17200.0,nM,IC50,4.76,Plasmodium falciparum FcB1/Columbia,CHEMBL1065691,KVHDSZQOIRXESH-DMMSLQPVSA-N,CCOC(=O)C(C/C=C/c1ncc(CN[C@H](C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCSC)C(=O)O)C(C)C)n1C)(C/C=C(\C)CC/C=C(\C)CCC=C(C)C)C(=O)O,CHEMBL590126,0
147,,31400.0,nM,IC50,4.50,Plasmodium falciparum FcB1/Columbia,CHEMBL1065691,JLKAKHRABLXOPJ-WXQXVHGOSA-N,CCOC(=O)C(C/C=C(\C)CC/C=C(\C)CCC=C(C)C)(CCCc1ncc(CN[C@H](C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCSC)C(=O)O)C(C)C)n1C)C(=O)O,CHEMBL590127,0
148,PTILOMYCALIN A,100.0,nM,IC50,7.00,Plasmodium falciparum FcB1/Columbia,CHEMBL1112336,GDECEASHMSFVQR-GYZMTDKTSA-N,CC[C@H]1CCCC[C@@]2(C[C@@H]3CC[C@@H]4[C@H](C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)CCCCN)[C@]5(CCC[C@@H](C)O5)NC(=[N+]34)N2)O1.[Cl-],CHEMBL1077545,0
149,NORBATZELLADINE A,200.0,nM,IC50,6.70,Plasmodium falciparum FcB1/Columbia,CHEMBL1112336,DPZMUSXOHQXFRG-IEIJWRJASA-N,CCCCCCCC[C@@H]1C[C@@H]2CC[C@H]3[C@@H](C(=O)OCCCCCCCCC[C@H]4NC(=N)N5CCCC5=C4C(=O)OCCCCNC(=N)N)[C@@H](C)N=C(N1)N23,CHEMBL1077519,1
150,BATZELLADINE A,300.0,nM,IC50,6.52,Plasmodium falciparum FcB1/Columbia,CHEMBL1112336,WZGMBJKFYVONHF-LJQXCJTBSA-N,CCCCCCCCC[C@@H]1C[C@@H]2CC[C@H]3[C@@H](C(=O)OCCCCCCCCC[C@H]4NC(=N)N5CCCC5=C4C(=O)OCCCCNC(=N)N)[C@@H](C)N=C(N1)N23,CHEMBL1077543,1
151,BATZELLADINE L,300.0,nM,IC50,6.52,Plasmodium falciparum FcB1/Columbia,CHEMBL1112336,SIXNJAZDRWJYIP-QHKXGOAWSA-N,CCCCCCCCC[C@@H]1C[C@@H]2CC[C@H]3[C@@H](C(=O)OC(C)CCCCCCC[C@@H]4C[C@@H]5CC[C@@H]6C[C@H](C)NC(=N4)N65)[C@@H](C)N=C(N1)N23,CHEMBL1077544,1
152,NORBATZELLADINE L,400.0,nM,IC50,6.40,Plasmodium falciparum FcB1/Columbia,CHEMBL1112336,HGZBYTYKEVODQE-LZBHNGPDSA-N,CCCCCCCC[C@@H]1C[C@@H]2CC[C@H]3[C@@H](C(=O)OC(C)CCCCCCC[C@@H]4C[C@@H]5CC[C@@H]6C[C@H](C)NC(=N4)N65)[C@@H](C)N=C(N1)N23,CHEMBL1077542,1
153,DINORDEHYDROBATZELLADINE B,800.0,nM,IC50,6.10,Plasmodium falciparum FcB1/Columbia,CHEMBL1112336,STLJTXDDSWZXCQ-YFRLFCAZSA-N,CCCCCCC[C@@H]1C[C@@H]2CCc3c(C(=O)OCCCCCCC[C@H]4NC(=N)N5CCCC5=C4C(=O)OCCCCNC(=N)N)c(C)nc([n+]32)N1.[Cl-],CHEMBL1077541,0
154,DINORBATZELLADINE A,900.0,nM,IC50,6.05,Plasmodium falciparum FcB1/Columbia,CHEMBL1112336,LDHICUSXTFKRBQ-KWMHPOLCSA-N,CCCCCCC[C@@H]1C[C@@H]2CC[C@H]3[C@@H](C(=O)OCCCCCCCCC[C@H]4NC(=N)N5CCCC5=C4C(=O)OCCCCNC(=N)N)[C@@H](C)N=C(N1)N23,CHEMBL1077540,1
155,CLATHRIADIC ACID,2300.0,nM,IC50,5.64,Plasmodium falciparum FcB1/Columbia,CHEMBL1112336,ZVXRGZGEMKYOEB-DFQHDRSWSA-N,CCCCCCC[C@@H]1C[C@@H]2CCc3c(C(=O)O)c(C)nc([n+]32)N1.[Cl-],CHEMBL1078459,0
156,DIHOMODEHYDROBATZELLADINE C,4500.0,nM,IC50,5.35,Plasmodium falciparum FcB1/Columbia,CHEMBL1112336,SFLMULQHBGYHRM-RFPXDPOKSA-N,CCCCCCCCC[C@@H]1C[C@@H]2CCc3c(C(=O)OCCCCNC(=N)N)c(CCCCC)nc([n+]32)N1.[Cl-],CHEMBL1078458,0
157,PRIMAQUINE,6870.0,nM,IC50,5.16,Plasmodium falciparum FcB1/Columbia,CHEMBL1174860,INDBQLZJXZLFIT-UHFFFAOYSA-N,COc1cc(NC(C)CCCN)c2ncccc2c1,CHEMBL506,1
158,,54800.0,nM,IC50,4.26,Plasmodium falciparum FcB1/Columbia,CHEMBL1174860,RNXOAGMRXFJDHR-UHFFFAOYSA-N,Cn1c(=O)c2ccccc2c2ccc3cnccc3c21,CHEMBL1169788,0
159,CHLOROQUINE,155.0,nM,IC50,6.81,Plasmodium falciparum FcB1/Columbia,CHEMBL1174860,WHTVZRBIWZFKQO-UHFFFAOYSA-N,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CHEMBL76,1
160,,80700.0,nM,IC50,4.09,Plasmodium falciparum FcB1/Columbia,CHEMBL1174860,RYHHQSSLNXJZAM-UHFFFAOYSA-N,Cn1c(=O)c2ccccc2c2c3cccnc3ccc21,CHEMBL1172121,0
161,,22300.0,nM,IC50,4.65,Plasmodium falciparum FcB1/Columbia,CHEMBL1174860,ATQMVCQJJQYFDD-UHFFFAOYSA-N,Cn1c(=O)c2ccccc2c2ccc3ncccc3c21,CHEMBL1172120,0
162,,38200.0,nM,IC50,4.42,Plasmodium falciparum FcB1/Columbia,CHEMBL1174860,YRIFJPHWCNVBIJ-UHFFFAOYSA-N,Cn1c(=O)c2ccccc2c2ccc3cccnc3c21,CHEMBL1169787,0
163,,14800.0,nM,IC50,4.83,Plasmodium falciparum FcB1/Columbia,CHEMBL1174860,GZABYWMWTFKNTR-UHFFFAOYSA-N,Cn1c(=O)c2ccccc2c2c3ccccc3ncc21,CHEMBL1169785,0
164,,50.0,nM,EC50,7.30,Plasmodium falciparum FcB1/Columbia,CHEMBL1173903,LNMWIESJYPJEHD-UHFFFAOYSA-N,CN1CCN(c2nc(Nc3ccc(OC(F)(F)F)cc3)cc(Nc3nccn3-c3cccc(C(F)(F)F)c3)n2)CC1,CHEMBL1170107,0
165,,1200.0,nM,IC50,5.92,Plasmodium falciparum FcB1/Columbia,CHEMBL1175903,LVJJFMLUMNSUFN-LAUBAEHRSA-N,O=C(Oc1cc(O)cc2c1C[C@H](O)[C@@H](c1ccc(O)c(O)c1)O2)c1cc(O)c(O)c(O)c1,CHEMBL1172735,1
166,CATECHIN GALLATE,1000.0,nM,IC50,6.00,Plasmodium falciparum FcB1/Columbia,CHEMBL1175903,LSHVYAFMTMFKBA-PZJWPPBQSA-N,O=C(O[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,CHEMBL483083,1
167,,15.0,nM,IC50,7.82,Plasmodium falciparum FcB1/Columbia,CHEMBL1217078,KPFQJGXLWZZQBV-DWXBKDDSSA-N,CC(C)C1=C[C@H]2OC3(CCC(NCCNc4ccnc5cc(Cl)ccc45)CC3)OO[C@@]2(C)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,CHEMBL269513,0
168,,14.1,nM,IC50,7.85,Plasmodium falciparum FcB1/Columbia,CHEMBL1217078,UJPLTYVXAUXUFI-UHFFFAOYSA-N,O=C(CN1CCCCC1)Nc1cc(COC(=O)CCCCN2CCOCC2)cc(Nc2ccnc3cc(Cl)ccc23)c1,CHEMBL97395,0
169,3-KETOADOCIAQUINONE A,1080.0,nM,IC50,5.97,Plasmodium falciparum FcB1/Columbia,CHEMBL1217358,DYNWJTLTTJEPPR-QFIPXVFZSA-N,C[C@@]12CCC(=O)c3coc(c31)C(=O)c1cc3c(cc12)C(=O)C1=C(C3=O)S(=O)(=O)CCN1,CHEMBL1214365,1
170,3-KETOADOCIAQUINONE B,3890.0,nM,IC50,5.41,Plasmodium falciparum FcB1/Columbia,CHEMBL1217358,DYJUMFWVRNTZRF-QFIPXVFZSA-N,C[C@@]12CCC(=O)c3coc(c31)C(=O)c1cc3c(cc12)C(=O)C1=C(NCCS1(=O)=O)C3=O,CHEMBL1214422,1
171,ORHALQUINONE,9220.0,nM,IC50,5.04,Plasmodium falciparum FcB1/Columbia,CHEMBL1217358,QDENTZCNQRGGAZ-UHFFFAOYSA-N,CC1=CCCC2(C)C1=C(O)C(=O)c1cc3c(cc12)C(=O)C=CC3=O,CHEMBL1214486,1
172,CHLOROQUINE,150.0,nM,IC50,6.82,Plasmodium falciparum FcB1/Columbia,CHEMBL1217358,WHTVZRBIWZFKQO-UHFFFAOYSA-N,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CHEMBL76,1
173,ELLAGIC ACID,300.0,nM,IC50,6.52,Plasmodium falciparum FcB1/Columbia,CHEMBL1637018,AFSDNFLWKVMVRB-UHFFFAOYSA-N,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,CHEMBL6246,1
174,CHLOROQUINE,120.0,nM,IC50,6.92,Plasmodium falciparum FcB1/Columbia,CHEMBL1637018,WHTVZRBIWZFKQO-UHFFFAOYSA-N,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CHEMBL76,1
175,ARTEMISININ,12.2,nM,IC50,7.91,Plasmodium falciparum FcB1/Columbia,CHEMBL1637018,BLUAFEHZUWYNDE-DKGJTOOQSA-N,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4,CHEMBL567597,1
176,,6780.0,nM,IC50,5.17,Plasmodium falciparum FcB1/Columbia,CHEMBL1638145,HWSBOLCZWNNRGV-UHFFFAOYSA-N,O=C(CCCCCC(=O)Nc1cccc2cccnc12)NS,CHEMBL1630846,0
177,,6550.0,nM,IC50,5.18,Plasmodium falciparum FcB1/Columbia,CHEMBL1638145,BKBWVGYLVWDHMZ-UHFFFAOYSA-N,O=C(CCCCCCC(=O)NC12CC3CC(CC(C3)C1)C2)NO,CHEMBL1630845,0
178,,15.0,nM,IC50,7.82,Plasmodium falciparum FcB1/Columbia,CHEMBL1638145,UUEJBZHVPJHUTE-UHFFFAOYSA-N,Cl.Nc1cccc(-c2csc(NC(=O)CCCCCCC(=O)NO)n2)c1,CHEMBL1630844,0
179,,0.6,nM,IC50,9.22,Plasmodium falciparum FcB1/Columbia,CHEMBL1638145,DRRQFLRBTKPRMM-UHFFFAOYSA-N,Nc1cccc(-c2csc(NC(=O)CCCCCCC(=O)NO)n2)c1,CHEMBL468935,0
180,,80.0,nM,IC50,7.10,Plasmodium falciparum FcB1/Columbia,CHEMBL1638145,MIYLHRAVWYBTPV-UHFFFAOYSA-N,O=C(CCCCCCC(=O)Nc1ccc(-c2ccccc2)cc1)NO,CHEMBL512644,0
181,,6.0,nM,IC50,8.22,Plasmodium falciparum FcB1/Columbia,CHEMBL1638145,BDTAPZUZFJRPNM-UHFFFAOYSA-N,O=C(CCCCCCC(=O)Nc1nc(-c2ccccc2)cs1)NO,CHEMBL511212,0
182,,95.0,nM,IC50,7.02,Plasmodium falciparum FcB1/Columbia,CHEMBL1638145,SZYFHRXJYNBDKS-VWLOTQADSA-N,N[C@@H](Cc1ccccc1)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCCC(=O)NO)cc1,CHEMBL389687,0
183,VORINOSTAT,820.0,nM,IC50,6.09,Plasmodium falciparum FcB1/Columbia,CHEMBL1638145,WAEXFXRVDQXREF-UHFFFAOYSA-N,O=C(CCCCCCC(=O)Nc1ccccc1)NO,CHEMBL98,1
184,PRIMAQUINE,8.9,nM,IC50,8.05,Plasmodium falciparum FcB1/Columbia,CHEMBL1653654,INDBQLZJXZLFIT-UHFFFAOYSA-N,COc1cc(NC(C)CCCN)c2ncccc2c1,CHEMBL506,1
185,CHLOROQUINE,167.0,nM,IC50,6.78,Plasmodium falciparum FcB1/Columbia,CHEMBL1653654,WHTVZRBIWZFKQO-UHFFFAOYSA-N,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CHEMBL76,1
186,SIMALIKALACTONE D,1.0,nM,IC50,9.00,Plasmodium falciparum FcB1/Columbia,CHEMBL1653654,OKIKYYZNNZCZRX-ZPUVFWQWSA-N,CC[C@@H](C)C(=O)O[C@H]1C(=O)O[C@@H]2C[C@H]3C(C)=CC(=O)[C@@H](O)[C@]3(C)[C@H]3[C@@H](O)[C@H](O)[C@]4(C)OC[C@]32[C@@H]14,CHEMBL480882,1
187,SIMALIKALACTONE E,45.0,nM,IC50,7.35,Plasmodium falciparum FcB1/Columbia,CHEMBL1653654,WXWYHWOPNBVFHK-TXMCOQOWSA-N,CC[C@H](C)C(=O)O[C@@H]1[C@H]2C(C)=CC(=O)[C@@H](O)[C@]2(C)[C@H]2[C@@H](O)[C@H](O)[C@@]3(C)OC[C@@]24[C@@H]1OC(=O)[C@H](OC(=O)[C@@H](C)CC)[C@@H]34,CHEMBL1650038,0
188,ORHALQUINONE,9200.0,nM,IC50,5.04,Plasmodium falciparum FcB1/Columbia,CHEMBL1670628,QDENTZCNQRGGAZ-UHFFFAOYSA-N,CC1=CCCC2(C)C1=C(O)C(=O)c1cc3c(cc12)C(=O)C=CC3=O,CHEMBL1214486,1
189,,8800.0,nM,IC50,5.06,Plasmodium falciparum FcB1/Columbia,CHEMBL1670628,CLAIHOZXFUTXCQ-SCPXBVHZSA-N,C[C@@]12CCC(=O)/C(=C\NCCc3ccccc3)C1=C(O)C(=O)c1cc3c(cc12)C(=O)C=CC3=O,CHEMBL1667866,0
190,,9200.0,nM,IC50,5.04,Plasmodium falciparum FcB1/Columbia,CHEMBL1670628,JDLIURBZJWISGG-RFDVBBEPSA-N,CCCCCN/C=C1\C(=O)CC[C@]2(C)C1=C(O)C(=O)c1cc3c(cc12)C(=O)C=CC3=O,CHEMBL1668039,0
191,,52800.0,nM,IC50,4.28,Plasmodium falciparum FcB1/Columbia,CHEMBL1670628,CQVVKQDJEXYNBP-RCLIWOIXSA-N,CC(C)(C)OC(=O)NCCN/C=C1\C(=O)CC[C@]2(C)C1=C(O)C(=O)c1cc3c(cc12)C(=O)C=CC3=O,CHEMBL1668040,0
192,,620.0,nM,IC50,6.21,Plasmodium falciparum FcB1/Columbia,CHEMBL1670628,FNZBUQICLHBVJP-UYYJKTCZSA-N,CC(C)=CCC/C(C)=C/CN/C=C1\C(=O)CC[C@]2(C)C1=C(O)C(=O)c1cc3c(cc12)C(=O)C=CC3=O,CHEMBL1668041,0
193,,55800.0,nM,IC50,4.25,Plasmodium falciparum FcB1/Columbia,CHEMBL1670628,KYJACYRUGWRTAE-PZVJUEDKSA-N,COC(=O)CN/C=C1\C(=O)CC[C@]2(C)C1=C(O)C(=O)c1cc3c(cc12)C(=O)C=CC3=O,CHEMBL1668042,0
